filepath,label,split
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\016_particle0006.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0002.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0002.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\007_particle0011.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0042.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\017_particle0016.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\016_particle0041.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\006_particle0001.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\009_particle0008.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\016_particle0017.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\002_particle0015.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0040.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\003_particle0016.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\020_particle0030.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\005_particle0002.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\020_particle0033.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\013_particle0002.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0012.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\024_particle0028.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\022_particle0024.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\009_particle0007.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\012_particle0007.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\003_particle0006.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\019_particle0033.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\014_particle0036.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\015_particle0013.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\009_particle0005.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\014_particle0026.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\024_particle0036.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\006_particle0014.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0033.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\004_particle0012.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\020_particle0007.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\009_particle0012.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\006_particle0028.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\017_particle0038.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0025.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\001_particle0011.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0000.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0033.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\008_particle0004.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\002_particle0008.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\020_particle0016.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\014_particle0000.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\007_particle0007.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0008.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\024_particle0019.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\004_particle0016.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\012_particle0001.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\011_particle0016.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\005_particle0008.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\006_particle0030.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\022_particle0032.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\017_particle0011.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\015_particle0014.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\001_particle0015.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\003_particle0019.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\021_particle0036.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0009.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\018_particle0009.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0028.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\016_particle0014.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\014_particle0032.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0009.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0025.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\004_particle0011.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\006_particle0020.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0043.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0009.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\016_particle0032.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\016_particle0016.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\019_particle0031.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\004_particle0013.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0007.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\007_particle0001.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0032.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0014.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\004_particle0024.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\002_particle0008.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\009_particle0026.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0015.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0038.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\007_particle0003.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0038.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0003.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\004_particle0020.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0009.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\015_particle0014.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0001.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0028.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\004_particle0005.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\024_particle0024.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\003_particle0003.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\020_particle0020.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0028.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\012_particle0025.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\010_particle0016.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\019_particle0003.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\019_particle0019.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\002_particle0013.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\003_particle0006.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\005_particle0008.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\024_particle0013.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\002_particle0000.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\015_particle0002.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\005_particle0007.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\004_particle0021.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0028.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\006_particle0017.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\022_particle0025.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\009_particle0014.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\005_particle0022.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\017_particle0034.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\004_particle0027.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0017.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\009_particle0011.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0038.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\012_particle0010.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0007.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0023.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\005_particle0012.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\020_particle0036.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0029.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\004_particle0028.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0027.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\001_particle0003.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\005_particle0017.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0054.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0019.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\002_particle0015.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\019_particle0008.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\013_particle0015.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0057.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\017_particle0014.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\008_particle0013.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0038.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\015_particle0003.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\006_particle0025.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0033.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\003_particle0010.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\015_particle0011.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\014_particle0006.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0016.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\024_particle0025.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\002_particle0012.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\017_particle0024.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\006_particle0005.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\006_particle0001.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0019.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\006_particle0010.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\015_particle0005.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0011.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0027.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\020_particle0009.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\003_particle0000.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0019.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0010.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0000.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\007_particle0019.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0003.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\015_particle0007.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0041.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\017_particle0005.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0012.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\009_particle0009.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\014_particle0001.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\010_particle0013.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\014_particle0014.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\007_particle0002.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\006_particle0011.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\012_particle0005.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0051.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\004_particle0031.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\018_particle0035.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\008_particle0006.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\006_particle0027.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\009_particle0004.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0034.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\011_particle0013.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0040.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\014_particle0018.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0023.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\022_particle0008.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\006_particle0012.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\018_particle0002.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\020_particle0044.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0029.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\009_particle0018.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0014.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\005_particle0000.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0019.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\004_particle0027.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0030.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0020.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\021_particle0011.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\013_particle0021.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\003_particle0002.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\006_particle0031.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\006_particle0014.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\020_particle0012.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0024.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\009_particle0011.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\007_particle0003.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0032.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\016_particle0013.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0023.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0008.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\018_particle0014.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\006_particle0019.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\003_particle0015.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0025.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\011_particle0021.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\002_particle0012.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0047.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\004_particle0017.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\021_particle0005.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\001_particle0023.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0039.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\022_particle0003.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\002_particle0016.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\018_particle0044.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\014_particle0001.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\013_particle0034.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\002_particle0017.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\017_particle0030.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\003_particle0042.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\005_particle0013.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\019_particle0025.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0002.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\016_particle0030.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\001_particle0013.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\023_particle0026.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\005_particle0022.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0013.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\011_particle0004.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\022_particle0018.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\bop1\007_particle0001.png,bop1,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\012_particle0009.png,opa,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\op\020_particle0018.png,op,train
C:\Users\omlln\Desktop\Research\color-histogram-analysis\dataset/segmented\opa\007_particle0007.png,opa,train
